DATE,bit_price
5/24/16,446.99
5/25/16,451.49
5/26/16,454.97
5/27/16,471.27
5/28/16,523.25
5/29/16,525.22
5/30/16,532.55
5/31/16,531.34
6/1/16,534.84
6/2/16,537.87
6/3/16,571.25
6/4/16,576.31
6/5/16,575.17
6/6/16,586.77
6/7/16,579.71
6/8/16,583.21
6/9/16,577.46
6/10/16,580.31
6/11/16,609.5
6/12/16,677.86
6/13/16,706.01
6/14/16,684.95
6/15/16,698.78
6/16/16,769.76
6/17/16,752.26
6/18/16,758.99
6/19/16,768.76
6/20/16,703.12
6/21/16,667.66
6/22/16,604.5
6/23/16,631.1
6/24/16,669.98
6/25/16,673.71
6/26/16,638.56
6/27/16,657.87
6/28/16,648.43
6/29/16,639.42
6/30/16,673.49
7/1/16,678.19
7/2/16,704.95
7/3/16,663.55
7/4/16,681.98
7/5/16,669.87
7/6/16,678.79
7/7/16,641.97
7/8/16,667.33
7/9/16,657.61
7/10/16,652.44
7/11/16,650.97
7/12/16,666.56
7/13/16,655.34
7/14/16,661.65
7/15/16,667.48
7/16/16,666.32
7/17/16,680.0
7/18/16,675.5
7/19/16,673.98
7/20/16,666.92
7/21/16,667.28
7/22/16,654.67
7/23/16,657.5
7/24/16,661.0
7/25/16,657.79
7/26/16,654.06
7/27/16,657.35
7/28/16,657.4
7/29/16,657.0
7/30/16,655.87
7/31/16,626.97
8/1/16,605.2
8/2/16,537.47
8/3/16,573.36
8/4/16,587.5
8/5/16,583.0
8/6/16,591.71
8/7/16,595.14
8/8/16,591.48
8/9/16,586.45
8/10/16,594.94
8/11/16,587.91
8/12/16,587.74
8/13/16,586.45
8/14/16,574.99
8/15/16,567.79
8/16/16,579.02
8/17/16,574.45
8/18/16,574.09
8/19/16,573.67
8/20/16,581.87
8/21/16,581.29
8/22/16,585.2
8/23/16,582.39
8/24/16,578.47
8/25/16,575.58
8/26/16,579.29
8/27/16,570.84
8/28/16,575.41
8/29/16,573.21
8/30/16,574.95
8/31/16,572.89
9/1/16,573.02
9/2/16,576.21
9/3/16,600.91
9/4/16,611.92
9/5/16,605.69
9/6/16,612.99
9/7/16,615.21
9/8/16,627.97
9/9/16,622.07
9/10/16,623.74
9/11/16,607.94
9/12/16,606.74
9/13/16,608.63
9/14/16,608.43
9/15/16,605.44
9/16/16,607.93
9/17/16,607.92
9/18/16,611.4
9/19/16,608.6
9/20/16,605.6
9/21/16,597.0
9/22/16,596.21
9/23/16,602.96
9/24/16,603.68
9/25/16,601.67
9/26/16,607.08
9/27/16,605.71
9/28/16,605.04
9/29/16,605.99
9/30/16,608.99
10/1/16,615.65
10/2/16,612.4
10/3/16,612.99
10/4/16,610.34
10/5/16,613.16
10/6/16,611.88
10/7/16,617.98
10/8/16,619.5
10/9/16,617.42
10/10/16,618.72
10/11/16,642.12
10/12/16,635.79
10/13/16,635.66
10/14/16,638.03
10/15/16,638.16
10/16/16,641.92
10/17/16,639.56
10/18/16,635.11
10/19/16,629.79
10/20/16,628.05
10/21/16,630.83
10/22/16,652.75
10/23/16,651.04
10/24/16,649.98
10/25/16,654.3
10/26/16,674.0
10/27/16,691.21
10/28/16,689.95
10/29/16,714.28
10/30/16,697.41
10/31/16,696.9
11/1/16,730.7
11/2/16,744.6
11/3/16,690.0
11/4/16,706.32
11/5/16,706.99
11/6/16,717.02
11/7/16,706.42
11/8/16,711.15
11/9/16,720.97
11/10/16,712.91
11/11/16,716.9
11/12/16,704.53
11/13/16,704.01
11/14/16,708.32
11/15/16,712.29
11/16/16,739.85
11/17/16,730.71
11/18/16,748.54
11/19/16,750.77
11/20/16,731.99
11/21/16,736.4
11/22/16,746.66
11/23/16,741.52
11/24/16,737.99
11/25/16,739.74
11/26/16,735.7
11/27/16,729.24
11/28/16,729.77
11/29/16,732.37
11/30/16,742.69
12/1/16,754.0
12/2/16,769.25
12/3/16,766.98
12/4/16,767.99
12/5/16,752.0
12/6/16,759.8
12/7/16,764.34
12/8/16,767.89
12/9/16,773.22
12/10/16,775.87
